,CNI,CNO,CNIO,AA,RA,TC,MS,MyMS
48,0.569309556,0.541077057,0.560663164,0.561477631,0.561385819,0.5,0.533779607,0.591736109
49,0.576446689,0.590480492,0.580415413,0.579965751,0.581001598,0.5,0.53303316,0.625198908
50,0.524456035,0.536093759,0.527127881,0.524952231,0.527032062,0.5,0.517591206,0.554493467
51,0.533523136,0.516841602,0.529583154,0.52753012,0.529678429,0.5,0.517824944,0.533346514
52,0.524990248,0.517858835,0.527464309,0.525643135,0.527515394,0.5,0.513806693,0.54462265
53,0.525668407,0.51742751,0.523966291,0.524140136,0.524036648,0.5,0.512849332,0.547118032
54,0.540177425,0.528230006,0.540865371,0.538806726,0.541083988,0.5,0.523441096,0.55250999
55,0.545621273,0.529929477,0.552315253,0.552681872,0.552533796,0.5,0.52080687,0.563004759
56,0.532862646,0.528045181,0.524546074,0.524759533,0.524656112,0.5,0.521905004,0.546786082
57,0.538277631,0.520882735,0.531944912,0.527457937,0.532162077,0.5,0.521294878,0.542717965
58,0.537790924,0.517993928,0.533643603,0.5340001,0.533876407,0.5,0.512345827,0.530930164
59,0.534269963,0.531120517,0.534904391,0.532904162,0.534910371,0.5,0.512848278,0.551478057
60,0.510348937,0.505193801,0.516067565,0.516165879,0.516068711,0.5,0.499987539,0.526236368
61,0.52197822,0.510454026,0.513930476,0.514209372,0.514089804,0.5,0.519721348,0.523118687
62,0.526895471,0.516425754,0.525615066,0.525891038,0.525798282,0.5,0.524987422,0.534531366
63,0.533279364,0.544189237,0.531884489,0.532128517,0.532024203,0.5,0.522714812,0.542917839
64,0.533602217,0.536641233,0.554744018,0.55502963,0.554908513,0.5,0.522714812,0.55811646
65,0.53603497,0.537416623,0.541228841,0.541334507,0.541208508,0.5,0.533771281,0.543986255
66,0.543640491,0.52540935,0.521570258,0.521692264,0.521590443,0.5,0.513692314,0.558594522
67,0.531162779,0.526402639,0.522373603,0.522737687,0.522619218,0.5,0.521418959,0.539908341
68,0.522049095,0.508080502,0.520444243,0.520638779,0.520548103,0.5,0.517838563,0.523462638
69,0.509398257,0.519385426,0.514977837,0.515280454,0.515153782,0.5,0.507032952,0.518378193
70,0.49216953,0.502420014,0.489746978,0.489825283,0.489746978,0.5,0.499990212,0.516701922
71,0.501870406,0.494495473,0.499568541,0.499757158,0.499680517,0.5,0.5,0.508192727
72,0.508690163,0.502132725,0.506439815,0.506692149,0.506627614,0.5,0.508469599,0.515173942
73,0.491802476,0.503722673,0.499154177,0.499330834,0.499256294,0.5,0.5,0.517366327
74,0.500772697,0.501164381,0.506448264,0.506534592,0.506441525,0.5,0.5,0.514600056
75,0.510080218,0.503126404,0.498841446,0.489839965,0.499032047,0.5,0.5,0.516455733
76,0.5107156,0.503211037,0.508223081,0.508365281,0.508304558,0.5,0.5,0.517095439
77,0.500774406,0.500271772,0.498345354,0.498317596,0.498350631,0.5,0.5078125,0.514236391
